Lat,lon,elevation,PercentClear,NE,SE,SW,NW
21.84541667,86.43625,1038,93,25,23.5,19.9,24.1
21.95541667,86.43125,1004,94,25,23.5,20.7,24.9
21.95791667,86.43041667,1013,95,25,23.5,21.3,24.9
21.17458333,85.72958333,960,90,25,20.7,21.1,22.7
21.19541667,85.72375,973,90,25,21,21.5,22.4
21.83041667,86.52708333,964,90,25,23.5,19.2,21.8
21.83041667,86.52708333,964,90,25,23.5,19.2,21.8
18.22875,82.76291667,1475,91,25,22.2,21.9,22.3
18.05458333,82.78375,1515,93,21.6,23.5,24.4,23.9
18.45291667,82.78041667,1381,91,25,17.8,23.1,25
18.45291667,82.78041667,1381,91,25,17.8,23.1,25
18.54375,82.78375,1353,92,23.9,19.9,23.5,25
18.05708333,82.78708333,1533,98,25,23.5,24.6,24.6
18.54375,82.78375,1353,92,23.9,19.9,23.5,25
18.16041667,82.83291667,1565,98,25,23.5,24.9,24.6
18.16125,82.83291667,1559,98,25,23.5,24.9,24.5
18.16041667,82.83375,1558,98,25,23.5,24.9,24.5
18.43708333,82.83625,1427,90,25,16.8,23.4,25
18.25958333,82.84625,1494,92,25,19.5,22.9,25
18.15125,82.87958333,1463,90,21.6,22.8,23.6,22.1
18.39125,82.89125,1614,98,25,23.5,24.9,25
18.42458333,82.89125,1456,91,25,19.9,21.1,25
18.39208333,82.89208333,1606,98,25,23.4,24.9,25
18.39541667,82.89375,1608,98,25,23.4,24.9,25
18.42375,82.89541667,1460,91,25,21.3,19.6,25
18.15208333,82.90541667,1529,97,24.4,23.1,24.8,24.4
18.15291667,82.90125,1513,92,24,19.7,24.6,24.1
18.15125,82.92291667,1551,98,24.8,23.5,24.9,24.6
19.10875,82.88291667,1147,92,25,17.4,24.6,25
18.21458333,82.92791667,1608,98,25,23.5,25,24.9
18.23291667,82.93208333,1626,98,25,23.5,25,24.9
18.15125,82.93541667,1499,92,23.1,23.5,24.6,21.1
18.23625,82.93708333,1598,92,22.6,23.5,21.4,24.8
18.23791667,82.94125,1610,98,25,23.5,24.1,24.9
19.10791667,82.88375,1139,92,25,17,24.5,25
18.67791667,82.94541667,1524,91,21.8,19.9,24.7,25
18.67958333,82.94791667,1535,92,25,17.6,24.8,25
